Technology_Domain,Patent_Title,Patent_Abstract,Inventors,Assignee,Filing_Date,Publication_Date,Patent_Number,Patent_Status,IPC_or_CPC_Classification,Country,Keywords,Source_URL
Quantum Computing,Method and System for Quantum Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Quantum Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_115, Dr. Taylor Scientist_115",Institute of Technology & Quantum Computing Research Group,2025-05-27,2026-09-19,US-15773358-B2,FILED,G06F 17/64 (IPC) | H04L 9/66 (CPC),US,"Quantum Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-15773358-B2
Quantum Computing,Method and System for Quantum Computing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Quantum Computing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_193, Dr. Taylor Scientist_193",Institute of Technology & Quantum Computing Research Group,2025-05-09,2026-09-18,US-75219310-B2,GRANTED,G06F 17/66 (IPC) | H04L 9/97 (CPC),US,"Quantum Computing, automation, system, adaptive",https://www.lens.org/lens/patent/US-75219310-B2
Smart Manufacturing,Method and System for Smart Manufacturing Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Smart Manufacturing optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_101, Dr. Taylor Scientist_101",Institute of Technology & Smart Manufacturing Research Group,2025-06-13,2026-09-16,US-24942084-B2,GRANTED,G06F 17/29 (IPC) | H04L 9/92 (CPC),US,"Smart Manufacturing, automation, system, adaptive",https://www.lens.org/lens/patent/US-24942084-B2
Renewable Energy,Method and System for Renewable Energy Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Renewable Energy optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_71, Dr. Taylor Scientist_71",Institute of Technology & Renewable Energy Research Group,2025-05-17,2026-09-16,US-21807829-B2,GRANTED,G06F 17/97 (IPC) | H04L 9/52 (CPC),US,"Renewable Energy, automation, system, adaptive",https://www.lens.org/lens/patent/US-21807829-B2
Biotechnology,Method and System for Biotechnology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Biotechnology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_146, Dr. Taylor Scientist_146",Institute of Technology & Biotechnology Research Group,2025-05-23,2026-09-14,US-24669378-B2,GRANTED,G06F 17/61 (IPC) | H04L 9/63 (CPC),US,"Biotechnology, automation, system, adaptive",https://www.lens.org/lens/patent/US-24669378-B2
Robotics,Method and System for Robotics Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Robotics optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_93, Dr. Taylor Scientist_93",Institute of Technology & Robotics Research Group,2025-08-17,2026-09-14,US-21970748-B2,GRANTED,G06F 17/59 (IPC) | H04L 9/38 (CPC),US,"Robotics, automation, system, adaptive",https://www.lens.org/lens/patent/US-21970748-B2
Software Engineering,Method and System for Software Engineering Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Software Engineering optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_106, Dr. Taylor Scientist_106",Institute of Technology & Software Engineering Research Group,2025-09-04,2026-09-12,US-65939629-B2,GRANTED,G06F 17/33 (IPC) | H04L 9/47 (CPC),US,"Software Engineering, automation, system, adaptive",https://www.lens.org/lens/patent/US-65939629-B2
Space Technology,Method and System for Space Technology Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Space Technology optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_7, Dr. Taylor Scientist_7",Institute of Technology & Space Technology Research Group,2025-07-20,2026-09-12,US-74645918-B2,FILED,G06F 17/16 (IPC) | H04L 9/38 (CPC),US,"Space Technology, automation, system, adaptive",https://www.lens.org/lens/patent/US-74645918-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_106, Dr. Taylor Scientist_106",Institute of Technology & Blockchain Research Group,2025-08-06,2026-09-10,US-93340948-B2,FILED,G06F 17/50 (IPC) | H04L 9/33 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-93340948-B2
Deep Learning,Method and System for Deep Learning Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Deep Learning optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_159, Dr. Taylor Scientist_159",Institute of Technology & Deep Learning Research Group,2025-06-02,2026-09-09,US-14870099-B2,FILED,G06F 17/59 (IPC) | H04L 9/55 (CPC),US,"Deep Learning, automation, system, adaptive",https://www.lens.org/lens/patent/US-14870099-B2
Medical Devices,Method and System for Medical Devices Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Medical Devices optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_77, Dr. Taylor Scientist_77",Institute of Technology & Medical Devices Research Group,2025-05-05,2026-09-08,US-21168129-B2,FILED,G06F 17/76 (IPC) | H04L 9/61 (CPC),US,"Medical Devices, automation, system, adaptive",https://www.lens.org/lens/patent/US-21168129-B2
Data Science,Method and System for Data Science Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Data Science optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_15, Dr. Taylor Scientist_15",Institute of Technology & Data Science Research Group,2025-07-06,2026-09-07,US-38126326-B2,GRANTED,G06F 17/43 (IPC) | H04L 9/44 (CPC),US,"Data Science, automation, system, adaptive",https://www.lens.org/lens/patent/US-38126326-B2
Medical Devices,Method and System for Medical Devices Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Medical Devices optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_129, Dr. Taylor Scientist_129",Institute of Technology & Medical Devices Research Group,2025-08-12,2026-09-06,US-48327018-B2,GRANTED,G06F 17/58 (IPC) | H04L 9/18 (CPC),US,"Medical Devices, automation, system, adaptive",https://www.lens.org/lens/patent/US-48327018-B2
Blockchain,Method and System for Blockchain Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Blockchain optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_108, Dr. Taylor Scientist_108",Institute of Technology & Blockchain Research Group,2025-05-07,2026-09-05,US-29421442-B2,FILED,G06F 17/57 (IPC) | H04L 9/87 (CPC),US,"Blockchain, automation, system, adaptive",https://www.lens.org/lens/patent/US-29421442-B2
Software Engineering,Method and System for Software Engineering Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Software Engineering optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_161, Dr. Taylor Scientist_161",Institute of Technology & Software Engineering Research Group,2025-07-16,2026-09-05,US-26535987-B2,GRANTED,G06F 17/81 (IPC) | H04L 9/59 (CPC),US,"Software Engineering, automation, system, adaptive",https://www.lens.org/lens/patent/US-26535987-B2
Healthcare,Method and System for Healthcare Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Healthcare optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_138, Dr. Taylor Scientist_138",Institute of Technology & Healthcare Research Group,2025-08-21,2026-09-05,US-50829277-B2,GRANTED,G06F 17/83 (IPC) | H04L 9/20 (CPC),US,"Healthcare, automation, system, adaptive",https://www.lens.org/lens/patent/US-50829277-B2
Robotics,Method and System for Robotics Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Robotics optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_34, Dr. Taylor Scientist_34",Institute of Technology & Robotics Research Group,2025-06-30,2026-09-04,US-51743765-B2,GRANTED,G06F 17/98 (IPC) | H04L 9/62 (CPC),US,"Robotics, automation, system, adaptive",https://www.lens.org/lens/patent/US-51743765-B2
5G / 6G Communications,Method and System for 5G / 6G Communications Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing 5G / 6G Communications optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_42, Dr. Taylor Scientist_42",Institute of Technology & 5G / 6G Communications Research Group,2025-08-28,2026-09-04,US-62245402-B2,FILED,G06F 17/49 (IPC) | H04L 9/29 (CPC),US,"5G / 6G Communications, automation, system, adaptive",https://www.lens.org/lens/patent/US-62245402-B2
Artificial Intelligence,Method and System for Artificial Intelligence Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Artificial Intelligence optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_76, Dr. Taylor Scientist_76",Institute of Technology & Artificial Intelligence Research Group,2025-05-21,2026-09-02,US-92668010-B2,FILED,G06F 17/58 (IPC) | H04L 9/47 (CPC),US,"Artificial Intelligence, automation, system, adaptive",https://www.lens.org/lens/patent/US-92668010-B2
Internet of Things,Method and System for Internet of Things Automation via Adaptive Networks,This invention details a computing framework and hardware-implemented architecture for executing Internet of Things optimization logic. The system provides improved data sorting parameters and low-latency metrics.,"Dr. Alex Inventor_3, Dr. Taylor Scientist_3",Institute of Technology & Internet of Things Research Group,2025-05-29,2026-09-01,US-60194179-B2,FILED,G06F 17/13 (IPC) | H04L 9/59 (CPC),US,"Internet of Things, automation, system, adaptive",https://www.lens.org/lens/patent/US-60194179-B2
